,Electricity Bill(Monthly in Rs.),Gas Bill (Monthly in Rs.),Oil Bill (Monthly in Rs),Car Mileage (Yearly in Rs.),No. of flights in Past year(4hr or less),No. of flights in past year (4hrs or more),Recycled Newspaper past year,Recycled Aluminium and Tin Past year,CO2 Footprint (Tonnes)
66,5878.8617549972605,812.6784132226865,4937.198133846875,13201.392016793576,13,8,Yes,Yes,660.2221032405292
67,2277.797115983493,3783.833101764589,3187.1261054799347,52843.21359137551,6,45,No,No,621.6562807599839
68,7283.31234451502,1691.2588536713529,132.2270450301587,68276.82005439239,116,18,Yes,Yes,609.0051598704737
69,8067.993540451771,1221.2626115612609,3514.2871448464166,21753.45071828358,74,27,Yes,No,795.0187846982287
70,9216.265113370262,3383.0736593147576,1834.6716153260522,65401.15127750202,36,20,No,Yes,854.8496865864987
71,5479.169149453435,3496.3944708329145,4506.823558141005,64490.16537618592,161,17,Yes,No,877.3592364235938
72,6920.891627463547,3921.5095189824533,4989.23549383648,12953.23664702355,125,33,No,Yes,997.6763940657504
73,8764.549105582555,3706.327005576819,4618.2848242674445,48780.15289923806,7,17,Yes,Yes,976.1722488021768
74,9282.790897182218,2946.213816281026,1520.367301794927,81881.78258688435,166,27,No,Yes,911.058804130053
75,3691.359322700029,2737.370487950391,2701.513003356726,15494.509040185763,116,4,Yes,No,568.9471308196755
76,3749.8891764445116,326.76416155938057,2806.7163451853776,60110.53115854581,10,47,Yes,Yes,505.24743355580375
77,655.8606947673426,3771.442267714,3072.9547263882305,32161.60784566825,42,39,Yes,No,527.7421826702445
78,765.4820776780781,3144.9301780770224,1482.9314202125775,64674.71000339048,102,6,No,No,384.1037791204926
79,980.7078955434839,2939.099637309895,2682.7506862657033,52613.7240369542,103,31,No,Yes,503.08973024341157
80,2880.24169345745,2168.726419628867,2973.8578720066166,41976.776843665146,0,14,No,No,480.6496225586532
81,1194.425329989845,3005.3279867296833,1607.104404419335,31797.968700615653,102,24,Yes,Yes,432.7486456142109
82,8129.876758286862,2237.78087861845,1605.127623995774,50666.59444897258,63,33,Yes,No,762.3380415006344
83,4914.307930047649,2105.300978521595,2588.317288836151,62316.88073950758,167,40,No,Yes,719.3265624112333
84,764.0698859740536,3458.424199447863,965.4026316054852,19433.645243641244,143,24,Yes,No,415.4354780415988
85,2256.1073056734017,310.76691689390645,2503.316401186878,68121.01932006745,200,39,No,No,499.081075983269
86,5406.591343037522,1862.9489317277807,4256.454396987192,66658.54346905614,112,2,Yes,Yes,714.470662525232
87,6529.6320757756075,3359.9344950792442,3874.2148881374114,76427.12397069379,1,7,No,Yes,784.3261001180674
88,8183.483074545139,1277.083582762751,4087.22590238404,77023.97418413204,54,5,No,Yes,798.8244827960946
89,3447.979253784499,186.18757606284197,3540.1837319557317,32836.6357516766,52,48,Yes,No,538.0676105443964
90,7728.211838564124,666.1385944976985,373.1170788525855,28266.756342856603,69,5,Yes,No,521.9828814463451
91,9778.920397970009,3902.9762620115443,1835.7935427303794,23945.755801025865,186,38,No,Yes,1017.4724833547032
92,5675.255566784994,3705.2207405492595,4731.102571628352,13733.833290199264,64,30,Yes,No,866.4901655816789
93,5458.552067917927,2232.5473703766156,341.66764253531096,56821.777083663845,41,44,No,No,565.0565442617558
94,5451.343362196415,2292.808969265515,2459.894058546636,65177.176802997026,109,7,Yes,Yes,646.6469965468201
95,648.0079969588604,1493.1732136512117,2582.5207149018843,60839.47502695157,152,32,No,Yes,436.4480265846311
96,7982.802001461967,1422.3101214303358,1249.8837834997798,72810.84970962169,123,3,Yes,Yes,667.397105854884
97,8276.908619278576,480.05192085793857,3974.2309142807408,74448.9363411716,172,19,Yes,No,850.1748048687916
98,9229.518662253447,2412.1519571650406,2594.0013267533714,29311.514383752892,146,48,Yes,No,955.3098306626185
99,2995.9962993126815,138.92022488837674,4951.615402333996,77896.18582301438,110,45,No,Yes,634.7103811525169
100,3012.338438095637,3790.0016712160627,4661.577060262508,76157.60730360785,157,4,Yes,Yes,745.734214528621
101,6820.318802980901,358.82449245181846,1756.504435808734,73429.03180851648,48,46,No,Yes,632.8439911977753
102,6716.213583553115,2233.805127527684,789.0405973816621,31738.022085664725,81,20,Yes,No,615.6262948076434
103,6595.959438267834,1082.4023339985233,2125.6958694942887,43657.19645834546,19,14,Yes,Yes,581.7104022714576
104,950.2515413661399,2260.022808685202,1772.91002882762,11672.955866894496,50,34,No,No,375.79463757387936
105,6460.315553582674,3058.6705745811787,1937.805783929028,17000.147274543175,45,30,No,Yes,706.7898566940369
106,2784.8662526834223,3785.2882316534638,1594.358605803866,55727.0934758317,13,46,No,Yes,565.4685735785586
107,7658.993042936364,1556.7876705260935,1676.6791719367363,11550.419288008114,109,28,Yes,Yes,704.6732762899678
108,1222.5928043446356,3556.580018637608,2624.807809532137,80991.50723123981,40,48,Yes,Yes,558.7998598014733
109,5582.262707999796,3963.213674696261,2865.130144165269,14653.36859789665,161,20,Yes,Yes,801.3554438330499
110,8021.689621199671,3115.337942810645,4711.895515686583,60485.036802226496,3,3,No,No,883.232633283713
111,6118.41302252072,3427.695886425887,4096.405582833222,39263.77365660935,70,14,Yes,No,817.5098237441347
112,493.3924052001916,2083.7208518253356,398.31518348416853,69630.51622467402,200,12,No,No,321.8823077694419
113,8410.062523924473,3781.7068345875946,4350.13133582465,40699.86616919399,109,43,Yes,Yes,1056.476758932808
114,5171.093139620573,2643.793418364265,4672.500316141505,15982.875616561741,29,19,No,No,738.5160480247409
115,1610.7859048133994,3893.5595760082574,1420.2164299183173,55978.19960121627,169,13,Yes,No,512.9647548760023
116,1105.329785691921,2793.9251974037315,3904.8749692035376,46535.5379453327,187,45,No,No,645.742859860928
117,6377.309282431351,3752.4016410937866,2297.1153036685787,21337.39004289589,74,9,No,Yes,730.6171072092883
118,7297.428897146131,2299.616100477578,3701.0101923529432,69854.49727406516,199,14,Yes,No,880.8774646664418
119,1957.9694685289662,2056.247545081019,2510.5897021680917,25456.26138397209,1,32,No,No,433.77493463369035
120,3163.397856690395,1588.8704164317191,1436.3692866986382,40795.46685779596,52,7,Yes,No,390.84615844621345
121,8876.12015022795,2633.8157880981507,3345.9565620235926,17812.61444961941,111,41,No,No,951.7791652240529
122,6652.0911468005015,2870.3495088347886,1043.3720025813036,46980.827212351396,88,29,No,Yes,689.7280793155752
123,6858.799553677058,2206.475846040168,3820.437314829614,26036.46575937573,10,19,Yes,No,749.449070747981
124,2189.993346421691,3801.3817309738242,190.76519390324222,51518.219856578566,158,3,No,No,439.3501218621463
125,35.99577190808081,3597.4360761959692,3186.0351188942814,63584.58375867695,60,33,No,No,501.65706682766694
126,9306.530658881944,2151.584269665688,1312.2953389210766,75231.44152752674,173,26,No,No,857.9371398011646
127,8269.798519258416,351.2154500898401,3227.590039388485,47917.90301946484,29,29,No,Yes,733.7316423089214
128,8204.548749854739,3493.2575693210815,1039.0443398952514,12431.287596588045,139,8,No,No,771.9761955614646
129,9574.366866067996,516.2810186454119,2450.4435602755684,8086.8498759490885,51,0,No,Yes,699.5453808040235
130,4075.6569226090733,3111.2887990487447,1943.3397529297101,54481.22934092909,174,13,No,Yes,633.025432017231
131,5727.548490976632,1806.5545117234467,3365.6021622153576,29989.2034269118,156,17,Yes,No,720.825665160552
132,2033.158434735854,2784.9469169736026,535.0866307388062,36740.16842772397,174,22,Yes,Yes,441.79529213044003
133,6435.739534203451,2781.012877773537,3088.800184457603,16026.624695543558,146,45,No,Yes,844.1192288053862
134,7441.825123482225,1203.007625880166,2029.84627756575,50926.905303635445,152,35,No,No,749.4311616189265
135,8495.638433900032,3932.8883218602687,3657.9509480504234,39493.32211060377,106,0,No,No,933.246745475953
136,6734.025602694087,913.2422909037164,1360.8464109755553,39402.048457182544,100,29,Yes,Yes,612.7331957745907
137,5476.00153574057,3777.8075938007332,4181.06583987185,30423.220430626392,164,36,No,Yes,903.5643713237753
138,6312.093072387422,32.51446249882427,3401.2030075459993,32158.683844559386,101,13,Yes,Yes,622.1125456264778
139,5548.612347314633,1512.6408130081998,795.4415886033238,46447.996747203295,41,9,No,Yes,476.4471993881818
140,8218.815527044848,509.4500713212666,4819.8844023379015,12704.532469176818,143,47,Yes,Yes,917.6257029716373
141,9984.751591798291,897.5021924862594,4500.880998137018,23247.8790025147,154,27,Yes,No,978.9840122756736
142,5195.857983022007,2593.75269719484,1436.1912410904324,29858.411550957364,102,49,Yes,Yes,665.7934383956219
143,1914.7433155580566,1280.9729635195802,4632.400377581955,9407.792404914286,1,17,No,Yes,471.2638039848975
144,1981.9878150790732,585.4842644647415,2062.128147670438,50620.575928377126,83,3,No,Yes,323.639652011139
145,1617.8973174031385,3239.9162676143415,2199.7344960500186,77569.25702653997,148,5,No,Yes,502.45206876572706
146,1349.834904751954,3104.2007081752195,1805.7123207806774,43377.195372606984,89,4,Yes,Yes,410.7436079749646
147,6290.541233287699,1825.9347636817956,5065.431164464653,42089.22083921323,133,21,Yes,Yes,848.2870928646406
148,8322.051527198022,3934.896829003531,1239.6038530846524,42189.897253359326,108,42,No,Yes,882.0844158149413
149,1561.5442224154122,3057.3552969811817,2462.1870135569184,13483.17433630485,90,10,Yes,Yes,458.43164489712746
150,6531.4088130692335,3695.1723909007815,3181.9738440640176,82073.9466095474,177,34,No,Yes,921.338244308814
151,6969.689523093447,1195.0477751843282,1333.1262819915805,79977.70502236967,47,23,Yes,Yes,612.0115365759434
152,2370.090544165408,3184.6912378539214,2875.5295667627356,72839.68513894605,124,1,Yes,Yes,553.2651397079931
153,3521.9897518812445,1493.5371073328024,1339.0982836766073,52741.56562076985,57,35,No,No,468.3321315566698
154,9585.868206991963,678.1590857432714,585.1096472818733,17048.821972809783,131,0,No,No,650.8794126192856
155,5369.391879788134,892.0067123442951,1670.3041913065451,67145.609548999,175,9,No,No,565.843128667627
156,9210.447005164297,3478.799720466838,4823.848658032504,33776.823226950204,95,23,Yes,No,1055.0077474491163
157,8116.655585632769,3534.2181321092808,226.94032809977773,48531.29151044419,150,39,Yes,No,812.0458588657204
158,8646.102206324902,1512.8825136883768,3506.910474870621,70365.85484916624,81,45,Yes,Yes,902.8316522963079
159,7245.203491230138,1658.0789952464781,4693.568114901462,32991.63023240457,23,29,Yes,Yes,822.0906229737548
160,9781.14151934431,3768.1407400538865,4837.165770464309,48642.16461390439,49,20,No,No,1074.975839672131
161,4591.397532221929,3823.1357252225102,3832.886530970398,29741.792175978884,96,39,No,No,808.8440929251723
162,9089.671940122647,3193.596122474066,2394.432307978458,39696.79224947533,138,38,Yes,No,955.4202316256531
163,4934.268482468822,1603.1963492690643,4478.928959960503,19382.89101939051,87,50,Yes,No,761.8656318566666
164,1743.0537645984257,2679.6204800888886,2522.691914697545,19329.594248346235,49,6,Yes,Yes,422.50768075459206
165,899.2274029205118,2340.6746078918163,1982.2347776617614,8189.70181476475,15,45,Yes,Yes,392.5760527223688
166,7136.92958684268,1994.6405896537483,3110.9991448983587,75284.7431135525,30,2,No,No,705.991359482673
167,8840.38250000508,970.2216408765125,2826.866484834777,39663.80637326493,110,22,No,Yes,799.4338773068881
168,3779.722073627328,1272.5568485999738,4920.839678764835,76340.50903422896,171,50,Yes,Yes,777.4765863356671
169,2833.122291010393,487.27345250998667,1829.80021137358,56145.912389514575,88,40,No,Yes,436.37412387128546
170,4336.523270745785,1684.2106073733942,4940.835843713785,73462.32340070931,177,48,Yes,Yes,827.2133715143659
171,6361.726039252853,1427.2549898922662,2154.7810100494003,50633.6704536922,155,43,No,Yes,730.6089309271183
172,5090.321656991773,3708.6885477267565,865.0991201888146,77152.96193963352,3,9,Yes,No,562.8345560045461
173,2385.4640685889135,1089.6331487877987,711.7433198648298,18882.24360078968,15,47,No,Yes,341.85658770695215
174,5324.607426635681,3393.698014310028,2294.3516697501445,76841.56603751527,96,6,No,Yes,683.7863235753514
175,9920.827702801535,1894.1516589589532,1809.4958387827364,36383.60777218657,2,46,Yes,No,839.2774564536638
176,3623.7193359416165,755.254631361497,4317.8013419156305,35048.65021285992,45,47,Yes,No,615.9291259357263
177,6754.158323917151,2536.3764480142254,4088.3751205670133,50686.3061412492,39,14,No,Yes,791.1093607642268
178,8165.148278764371,476.43771948861354,2832.195593441956,43886.983242297385,172,35,Yes,No,802.7206743184596
179,3941.1847000507732,3444.4351014067583,1829.713177558992,47711.75719063507,96,2,No,No,567.3449781989043
180,1490.2713313982715,2678.7277169774225,2516.8213886105045,81375.0207867815,147,31,No,No,542.4409917069962
181,4704.9816995219435,3034.6197564824574,538.1467477104195,79006.52927987292,130,43,Yes,No,634.1249467514195
182,6885.142211754019,2472.283466071725,2411.540624720996,61542.84975531467,101,34,Yes,No,782.2593190359372
183,7278.234084420685,1775.8078687873556,1273.5881887522792,16039.252464625779,64,4,No,Yes,597.7224399314531
184,8974.279609901943,646.9412601695382,1183.6552818201844,82159.67786035444,192,50,Yes,No,820.1266918564332
185,1918.2102961066369,621.8569228671107,1276.299562257962,12553.088029858562,124,47,Yes,No,382.1059240354907
186,2455.161093198534,2108.87291100692,3918.0842251052727,64709.733743055396,149,23,Yes,Yes,619.0938887677412
187,3587.4454917085827,534.2195587162493,5037.290528308797,33970.93906005343,43,27,No,Yes,597.5548509254719
188,1799.5598038470414,2271.545443518176,4317.572856037274,81557.85125248793,16,48,Yes,Yes,604.2912430975126
189,4142.758031569844,2085.7702636924905,2326.7782567209747,40592.05756906361,53,36,Yes,Yes,582.8445697457878
190,961.2414745665051,2534.3681777611296,4567.282234078433,43914.01580510871,53,36,Yes,No,567.3499892156502
191,7117.178567104529,770.6691863241198,1687.9346606677852,45074.428301284286,196,49,Yes,No,742.9677145617412
192,3342.851997225855,1105.96107481534,1604.0415793708123,46275.20006185006,95,8,No,No,412.4947395410444
193,1436.1223389795052,177.49873262713112,1160.610444198989,69922.36749851056,22,17,No,No,227.58393151850294
194,5809.114868507621,2119.854832082768,299.1059132210349,9030.30337012858,73,7,No,No,492.46236320918473
195,106.46493499682259,978.9390034230186,387.1602084201935,11884.544151463562,16,50,Yes,No,202.43565348261072
196,8350.773145872568,932.3893737848821,3519.3161003506757,59004.96552380167,88,5,No,No,769.089353333731
197,3353.537629138911,2374.537219677575,3423.9177203242693,38484.18570786597,190,50,Yes,Yes,723.8765341157938
198,4771.270676878613,3484.039241672077,2698.6956105527915,76307.5129168056,150,16,Yes,No,733.8045403222822
199,3442.774983545137,2476.90671032027,1733.3856747181057,16537.216526975946,23,10,No,No,450.0767800776623
200,4477.882562464227,3151.67526245954,4573.2205713478,63745.45022059963,108,23,No,No,794.2932009267853
201,1943.1659548619825,3637.5656180746255,2466.035051379331,75897.11376564689,47,17,Yes,Yes,525.5487479195347
202,3973.8188327994303,2076.8795442319843,2218.5932230971694,28201.64944010296,177,4,Yes,No,560.3848334279801
203,9646.69076696985,2005.5601039673675,3029.5868181515043,16084.954392774946,127,27,No,Yes,918.61038293491
204,6938.283422566537,205.55600758774273,4658.173124042204,24731.77768923094,21,22,No,Yes,708.0494037787304
205,7836.183592002294,57.34214018693139,3024.041892969592,14989.521203754886,67,26,Yes,Yes,685.2393287681995
206,7390.103194124282,2235.520233233889,4762.218106764757,63076.08052741459,88,34,No,Yes,922.6176047768415
207,6079.588328338024,1491.9828405918147,4219.470997538452,11566.87566309071,74,48,Yes,No,786.8595136166599
208,971.0080402662961,3903.4220549807037,2642.3060910304594,51719.46210936713,195,39,No,Yes,618.7690616768884
209,3741.088214985756,2949.8238687462454,1106.8210076107464,24572.993574943746,34,30,No,No,508.38960378804006
210,5487.46658721045,3395.8669431877734,4885.0815149763,29168.01894314051,9,45,Yes,No,857.9364834246082
211,5248.697055062992,61.15304698384726,187.3023201588502,41449.33103155208,137,0,Yes,No,381.15519720389716
212,9488.51461860433,1931.1633076799064,4527.16173825521,62619.501996305255,64,3,Yes,No,921.9354326298825
213,510.8780367356741,1108.132531487702,4870.986289668198,47146.57248935456,84,15,No,No,458.20667633127545
214,734.768854296736,1722.5574891788244,3308.74364744774,22830.783536640578,184,0,No,No,426.34680861023725
215,518.5441174635653,953.6449422452587,4945.308882423551,46150.17105541647,7,3,No,Yes,385.4711950585334
216,3277.2692384299708,3947.509955793286,3916.3736393264826,16545.369018441423,193,13,No,Yes,741.9534390809515
217,3731.107704740353,1968.9958442653765,605.1559423139207,57180.017473985296,120,31,Yes,Yes,490.23285396576154
218,5585.544380452049,2155.9999946859043,691.4116861747049,10771.219775537978,187,38,Yes,No,636.2834717749508
219,3074.7245490117716,1915.5111031835445,3465.588240470946,51504.6172574687,194,20,Yes,Yes,628.8374311435626
220,7147.941846503679,1506.5648114721532,1758.6069337488352,53581.95752062763,74,36,Yes,Yes,694.7877645211884
221,1492.2165338096597,1463.6413121314645,1078.875162174089,77797.61139083668,114,33,No,No,382.34404007412553
222,9672.324832355249,3886.8836082706903,4414.69306226451,44454.070870028365,110,46,Yes,Yes,1140.5479591444678
223,8677.761730248365,1611.6993851737657,4224.756560956332,77208.6964926181,118,38,No,Yes,957.9848893682788
224,2622.084930186403,1969.468480676242,1399.5241081235547,52582.51573702435,98,35,Yes,Yes,471.79975989539435
225,133.92894828209398,3059.4578355349404,4129.780751523317,14440.433155166374,55,43,Yes,Yes,531.5393897077525
226,7076.362789426122,1586.1050260261102,168.46766660857816,55837.11279732818,122,28,Yes,No,615.1366430295715
227,9970.308047910064,2889.17012288781,568.8906316894276,55804.527235829,113,1,No,No,793.8327129154935
228,8453.069564832558,1478.103958958694,2468.6071204601626,49061.05985442445,17,18,Yes,No,729.2750309475376
229,4020.057588109682,2671.838474219513,707.8052168995041,76377.97434017534,60,1,No,Yes,456.77683789147403
230,6525.076070555365,2945.2780740370154,1706.423734325545,47114.778048448854,196,38,No,Yes,803.7088709096306
231,6045.7085320410615,246.35504618927604,2917.805238120578,57342.14009533455,82,4,No,No,571.9144791485626
232,1285.3619666727518,3221.120754410906,1047.4289780629047,19691.726387719318,77,21,No,Yes,392.1903120405953
233,4052.734601610291,999.8670798256584,751.8862377128859,21796.545652220942,56,32,Yes,No,417.6357962387927
234,1811.1965668488413,3716.805828337217,1708.1843483838227,17918.268818626693,85,47,No,Yes,544.0522576143115
235,5381.600305891166,3282.0435347624784,1452.339769985979,39072.69748398341,13,28,No,Yes,621.1742141446977
236,4476.23464378857,1894.2743165232175,3380.220713756541,74325.48330795219,183,1,Yes,Yes,657.6427566502545
237,1379.1558538399372,634.0125971066499,3811.152617340344,24874.75172550507,59,35,No,No,440.47199348599975
238,42.12323069638169,2517.5367538302007,2618.6430081101,55081.067362484275,173,29,Yes,Yes,463.0425007540475
239,902.0540591984837,2489.265966042737,1939.2402063864788,68577.79801445015,44,12,No,No,365.47460320170796
240,3233.7876922565565,13.46074908350591,3207.5321293541897,22200.548354057646,105,44,Yes,No,515.1083250787178
241,1828.212350509234,3864.2751141693443,2574.5398789864416,10037.293989931979,115,16,No,No,546.9068261843825
242,55.36574636628872,121.69544207820704,1711.817808446036,67018.59494715928,131,3,Yes,Yes,211.13576357466496
243,261.9102013014121,2823.858691597039,3474.5657195602726,57196.137190081856,107,9,No,No,459.7333042224064
244,4005.5196376509803,1989.3504315060075,528.5270463972873,16299.724128483846,1,18,No,Yes,391.2728477829397
245,5846.843735545366,1546.6853044326022,1213.59696331782,17381.386824382804,95,10,No,No,538.0191508219314
246,6493.754181148011,3469.893542442372,4894.30136785091,22388.174853757067,168,47,Yes,No,1004.3458618393055
247,2018.6550859939448,3734.6164874057968,2986.58465080314,27294.970056982773,190,6,No,No,599.4453035463721
248,6401.880600594247,844.9583517551196,4661.177539662845,77708.9078454834,193,7,Yes,Yes,796.0605945882584
249,5500.74892396208,977.5341968448365,2712.388014228528,27543.438588719368,18,32,Yes,No,584.6224448888191
250,3303.641793609425,2563.362466961547,3146.6959253868463,23371.934604426497,123,3,Yes,Yes,569.2879576330813
251,5308.757387376344,2491.2823574529675,715.154007593986,19884.01343594236,185,0,Yes,Yes,559.5124733397963
252,4888.745309335231,687.8076184368076,784.0720204614714,50892.31134830125,42,1,No,No,382.64656084668417
253,9327.88024331146,2183.6827621334787,1731.12039676455,17382.360440860495,79,25,Yes,No,807.5643925771963
254,2199.4572308845377,1971.4403391177082,179.5864808444402,61882.17072661596,135,41,Yes,Yes,418.0122160298421
255,9891.336712550528,2151.8237946414342,3748.3701204666118,40633.37200465103,195,14,Yes,No,998.2320203757788
256,5005.099123932519,496.41102770743714,2033.045461963322,40318.506116980076,184,26,No,No,578.1971614782325
257,3404.4870797474778,3781.653642274084,1700.6619571706765,32195.33659307174,109,45,No,No,645.2019464405387
